name,type,size,environment,cr,hp,ac,str,dex,con,int,wis,cha,speed_walk,speed_fly,speed_swim,speed_burrow,speed_climb,damage_resistances,damage_immunities,damage_vulnerabilities,resist_count,immune_count,vuln_count,senses_count,blindsight,darkvision,tremorsense
A-mi-kuk,Aberration,Huge,,7,115,14,21,8,20,7,14,10,30,0,40,20,0,"acid; bludgeoning, piercing, and slashing from nonmagical attacks",cold,,4,1,0,3,0,1,1
Aalpamac,Monstrosity,Huge,,7,136,16,21,10,19,2,16,10,15,0,50,0,0,cold,,,1,0,0,2,0,1,0
Aatxe,Celestial,Large,,5,105,14,22,12,20,10,14,14,50,0,0,0,0,,,,0,0,0,1,0,0,0
Abaasy,Giant,Huge,,8,126,18,20,10,20,9,14,8,40,0,0,0,0,cold,,,1,0,0,2,0,1,0
Abbanith Giant,Giant,Large,,3,76,13,20,9,17,10,13,11,40,0,0,30,0,,,,0,0,0,2,0,0,1
Aboleth,Aberration,Large,"Underdark, Sewer, Caverns, Plane Of Water, Water",10,135,17,21,9,15,18,15,18,10,0,40,0,0,,,,0,0,0,2,0,1,0
Aboleth,Aberration,Large,,11,171,17,20,12,18,20,20,18,10,0,40,0,0,,,,0,0,0,3,1,1,0
"Aboleth, Nihilith",Undead,Large,,12,135,17,21,9,15,18,15,18,10,50,40,0,0,"acid, fire, lightning, thunder (only when in ethereal form); bludgeoning, piercing and slashing from nonmagical attacks","cold, necrotic, poison; bludgeoning, piercing and slashing from nonmagical attacks (only when in ethereal form)",,7,6,0,2,0,1,0
Aboleth Thrall,Humanoid,Medium,,2,45,12,14,14,14,10,10,12,30,0,30,0,0,,,,0,0,0,1,0,0,0
Aboleth,Aberration,large,,10,165,17,20,8,22,26,22,18,10,0,40,0,0,"acid,Aberrant Resilience",psychic,,2,1,0,1,0,1,0
Abominable Beauty,Fey,Medium,,11,187,18,17,18,18,17,16,26,30,0,0,0,0,,fire,,0,1,0,1,0,0,0
Abominable Snowman,Monstrosity,Large,,4,136,12,18,12,16,8,12,16,40,0,0,0,40,,cold,,0,1,0,1,0,0,0
Abominable Beauty,Fey,Medium,,11,187,18,17,18,18,17,16,26,30,0,0,0,0,False,fire,False,1,1,1,1,0,0,0
Accursed Defiler,Undead,Medium,,4,75,12,19,14,17,6,15,14,30,0,0,0,0,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison,,4,1,0,2,0,1,0
Accursed Guardian Naga,Monstrosity,Large,,12,136,18,16,18,16,16,18,18,40,0,40,0,0,,poison,,0,1,0,2,0,1,0
Accursed Spirit Naga,Monstrosity,Large,,8,85,16,16,16,16,16,14,16,40,0,40,0,0,,poison,,0,1,0,2,0,1,0
Accursed Defiler,Undead,Medium,,4,75,12,19,14,17,6,15,14,30,0,0,0,0,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison,False,4,1,1,2,0,1,0
Acid Ant,Monstrosity,Small,,1/4,13,13,8,13,12,1,7,3,30,0,0,0,0,,acid,,0,1,0,2,1,0,0
Acolyte,Humanoid,Medium,"Temple, Desert, Urban, Hills, Settlement",1/4,9,10,10,10,10,10,14,11,30,0,0,0,0,,,,0,0,0,1,0,0,0
Acolyte,Humanoid,Medium,,1/4,11,10,10,10,12,10,14,10,30,0,0,0,0,,,,0,0,0,1,0,0,0
